"","Player","Team","Position","Age","Date of Birth","Birth City","Birth State/Province","Birth Country","Nationality","Height (in)","Weight (lbs)","Draft Year","Draft Team","Draft Round","Round Pick","Overall Draft Position"
"","Aaron Gagnon","WPG","C","32","1986-04-24","Quesnel","BC","CAN","CAN","71","186","2004","PHX","8","13","240"
"","Aaron Johnson","BOS","D","35","1983-04-30","Port Hawkesbury","NS","CAN","CAN","73","204","2001","CBJ","3","22","85"
"","Aaron Palushaj","COL","R","29","1989-09-07","Livonia","MI","USA","USA","72","187","2007","STL","2","14","44"
"","Aaron Rome","DAL","D","34","1983-09-27","Nesbitt","MB","CAN","CAN","73","220","2002","L.A","4","8","104"
"","Aaron Volpatti","VAN, WSH","L","33","1985-05-30","Revelstoke","BC","CAN","CAN","72","215","-","-","-","-","-"
"","Adam Burish","S.J","R","35","1983-01-06","Madison","WI","USA","USA","73","195","2002","CHI","9","22","282"
"","Adam Cracknell","STL","R","33","1985-07-15","Prince Albert","SK","CAN","CAN","74","218","2004","CGY","9","21","279"
"","Adam Hall","CAR, PHI, T.B","R","38","1980-08-14","Kalamazoo","MI","USA","USA","74","212","1999","NSH","2","24","52"
"","Adam Henrique","N.J","C","28","1990-02-06","Brantford","ON","CAN","CAN","72","195","2008","N.J","3","21","82"
"","Adam Larsson","N.J","D","25","1992-11-12","Skellefteå","","SWE","SWE","75","210","2011","N.J","1","4","4"
"","Adam McQuaid","BOS","D","31","1986-10-12","Charlottetown","PE","CAN","CAN","76","212","2005","CBJ","2","25","55"
"","Adam Pardy","BUF","D","34","1984-03-29","Bonavista","NL","CAN","CAN","76","227","2004","CGY","6","10","173"
"","Adrian Aucoin","CBJ","D","45","1973-07-03","Ottawa","ON","CAN","CAN","74","215","1992","VAN","5","21","117"
"","Akim Aliu","CGY","R","29","1989-04-24","Okene","","NGA","NGA","76","225","2007","CHI","2","26","56"
"","Alec Martinez","L.A","D","31","1987-07-26","Rochester Hills","MI","USA","USA","73","208","2007","L.A","4","4","95"
"","Ales Hemsky","EDM","R","35","1983-08-13","Pardubice","","CZE","CZE","72","177","2001","EDM","1","13","13"
"","Alex Chiasson","DAL","R","27","1990-10-01","Montreal","QC","CAN","CAN","76","208","2009","DAL","2","8","38"
"","Alex Galchenyuk","MTL","C","24","1994-02-12","Milwaukee","WI","USA","USA","73","207","2012","MTL","1","3","3"
"","Alex Goligoski","DAL","D","33","1985-07-30","Grand Rapids","MN","USA","USA","71","185","2004","PIT","2","31","61"
"","Alex Killorn","T.B","L","29","1989-09-14","Halifax","NS","CAN","CAN","73","196","2007","T.B","3","16","77"
"","Alex Kovalev","FLA","R","45","1973-02-24","Togliatti","","RUS","RUS","74","222","1991","NYR","1","15","15"
"","Alex Ovechkin","WSH","L","33","1985-09-17","Moscow","","RUS","RUS","75","235","2004","WSH","1","1","1"
"","Alex Petrovic","FLA","D","26","1992-03-03","Edmonton","AB","CAN","CAN","76","206","2010","FLA","2","6","36"
"","Alex Pietrangelo","STL","D","28","1990-01-18","King City","ON","CAN","CAN","75","210","2008","STL","1","4","4"
"","Alex Tanguay","CGY","L","38","1979-11-21","Ste-Justine","QC","CAN","CAN","73","194","1998","COL","1","12","12"
"","Alexander Burmistrov","WPG","C","26","1991-10-21","Kazan","","RUS","RUS","73","180","2010","ATL","1","8","8"
"","Alexander Edler","VAN","D","32","1986-04-21","Ostersund","","SWE","SWE","75","214","2004","VAN","3","26","91"
"","Alexander Semin","CAR","R","34","1984-03-03","Krasnojarsk","","RUS","RUS","74","211","2002","WSH","1","13","13"
"","Alexander Steen","STL","L","34","1984-03-01","Winnipeg","MB","CAN","SWE","72","211","2002","TOR","1","24","24"
"","Alexander Sulzer","BUF","D","34","1984-05-30","Kaufbeuren","","DEU","DEU","73","198","2003","NSH","3","24","92"
"","Alexander Urbom","N.J","D","27","1990-12-20","Stockholm","","SWE","SWE","76","215","2009","N.J","3","12","73"
"","Alexandre Bolduc","PHX","C","33","1985-06-26","Montreal","QC","CAN","CAN","75","200","2003","STL","4","26","127"
"","Alexandre Burrows","VAN","L","37","1981-04-11","Pincourt","QC","CAN","CAN","73","197","-","-","-","-","-"
"","Alexei Emelin","MTL","D","32","1986-04-25","Togliatti","","RUS","RUS","74","218","2004","MTL","3","19","84"
"","Alexei Ponikarovsky","N.J, WPG","L","38","1980-04-09","Kiev","","UKR","UKR","76","225","1998","TOR","4","1","87"
"","Anders Lee","NYI","L","28","1990-07-03","Edina","MN","USA","USA","75","231","2009","NYI","6","1","152"
"","Andre Benoit","OTT","D","34","1984-01-06","St. Albert","ON","CAN","CAN","71","190","-","-","-","-","-"
"","Andreas Lilja","PHI","D","43","1975-07-13","Helsingborg","","SWE","SWE","75","220","2000","L.A","2","24","54"
"","Andreas Nodl","CAR","R","31","1987-02-28","Vienna","","AUT","AUT","73","196","2006","PHI","2","9","39"
"","Andrei Loktionov","N.J","C","28","1990-05-30","Voskresensk","","RUS","RUS","71","190","2008","L.A","5","2","123"
"","Andrei Markov","MTL","D","39","1978-12-20","Voskresensk","","RUS","RUS","72","200","1998","MTL","6","17","162"
"","Andrej Meszaros","PHI","D","32","1985-10-13","Povaská Bystrica","","SVK","SVK","74","223","2004","OTT","1","23","23"
"","Andrej Sekera","BUF","D","32","1986-06-08","Bojnice","","SVK","SVK","72","200","2004","BUF","3","6","71"
"","Andrej Sustr","T.B","D","27","1990-11-29","Plzen","","CZE","CZE","79","220","-","-","-","-","-"
"","Andrew Alberts","VAN","D","37","1981-06-30","Minneapolis","MN","USA","USA","77","218","2001","BOS","6","14","179"
"","Andrew Cogliano","ANA","L","31","1987-06-14","Toronto","ON","CAN","CAN","70","177","2005","EDM","1","25","25"
"","Andrew Desjardins","S.J","L","32","1986-07-27","Lively","ON","CAN","CAN","73","195","-","-","-","-","-"
"","Andrew Ebbett","VAN","C","35","1983-01-02","Vernon","BC","CAN","CAN","69","174","-","-","-","-","-"
"","Andrew Ference","BOS","D","39","1979-03-17","Edmonton","AB","CAN","CAN","71","182","1997","PIT","8","18","208"
"","Andrew Gordon","VAN","R","32","1985-12-13","Porters Lake","NS","CAN","CAN","72","194","2004","WSH","7","4","197"
"","Andrew Ladd","WPG","L","32","1985-12-12","Maple Ridge","BC","CAN","CAN","75","192","2004","CAR","1","4","4"
"","Andrew MacDonald","NYI","D","32","1986-09-07","Judique","NS","CAN","CAN","73","204","2006","NYI","6","7","160"
"","Andrew Murray","STL","C","36","1981-11-06","Selkirk","MB","CAN","CAN","74","210","2001","CBJ","8","15","242"
"","Andrew Shaw","CHI","C","27","1991-07-20","Belleville","ON","CAN","CAN","71","182","2011","CHI","5","18","139"
"","Andy Greene","N.J","D","35","1982-10-30","Trenton","MI","USA","USA","71","190","-","-","-","-","-"
"","Andy McDonald","STL","L","41","1977-08-25","Strathroy","ON","CAN","CAN","70","175","-","-","-","-","-"
"","Andy Miele","PHX","C","30","1988-04-15","Grosse Pointe Woods","MI","USA","USA","67","169","-","-","-","-","-"
"","Anthony Peluso","WPG","R","29","1989-04-18","North York","ON","CAN","CAN","75","225","2007","STL","6","9","160"
"","Antoine Roussel","DAL","L","28","1989-11-21","Roubaix","","FRA","FRA","71","195","-","-","-","-","-"
"","Antoine Vermette","PHX","C","36","1982-07-20","St. Agapit","QC","CAN","CAN","73","197","2000","OTT","2","25","55"
"","Anton Babchuk","CGY","D","34","1984-05-06","Kiev","","UKR","UKR","77","200","2002","CHI","1","21","21"
"","Anton Lander","EDM","C","27","1991-04-24","Sundsvall","","SWE","SWE","72","184","2009","EDM","2","10","40"
"","Anton Stralman","NYR","D","32","1986-08-01","Tibro","","SWE","SWE","71","190","2005","TOR","7","22","216"
"","Anton Volchenkov","N.J","D","36","1982-02-25","Moscow","","RUS","RUS","73","220","2000","OTT","1","21","21"
