"","Player","Team","Position","Age","Date of Birth","Birth City","Birth State/Province","Birth Country","Nationality","Height (in)","Weight (lbs)","Draft Year","Draft Team","Draft Round","Round Pick","Overall Draft Position"
"","Aaron Gagnon","DAL","C","32","1986-04-24","Quesnel","BC","CAN","CAN","71","186","2004","PHX","8","13","240"
"","Aaron Palushaj","MTL","R","29","1989-09-07","Livonia","MI","USA","USA","72","187","2007","STL","2","14","44"
"","Aaron Rome","VAN","D","34","1983-09-27","Nesbitt","MB","CAN","CAN","73","220","2002","L.A","4","8","104"
"","Aaron Volpatti","VAN","L","33","1985-05-30","Revelstoke","BC","CAN","CAN","72","215","-","-","-","-","-"
"","Aaron Voros","ANA","L","37","1981-07-02","Vancouver","BC","CAN","CAN","74","210","2001","N.J","8","2","229"
"","Adam Burish","DAL","R","35","1983-01-06","Madison","WI","USA","USA","73","195","2002","CHI","9","22","282"
"","Adam Cracknell","STL","R","33","1985-07-15","Prince Albert","SK","CAN","CAN","74","218","2004","CGY","9","21","279"
"","Adam Foote","COL","D","47","1971-07-10","Toronto","ON","CAN","CAN","74","220","1989","QUE","2","1","22"
"","Adam Hall","T.B","R","38","1980-08-14","Kalamazoo","MI","USA","USA","74","212","1999","NSH","2","24","52"
"","Adam Henrique","N.J","C","28","1990-02-06","Brantford","ON","CAN","CAN","72","195","2008","N.J","3","21","82"
"","Adam Mair","N.J","C","39","1979-02-15","Hamilton","ON","CAN","CAN","73","208","1997","TOR","4","4","84"
"","Adam McQuaid","BOS","D","31","1986-10-12","Charlottetown","PE","CAN","CAN","76","212","2005","CBJ","2","25","55"
"","Adam Pardy","CGY","D","34","1984-03-29","Bonavista","NL","CAN","CAN","76","227","2004","CGY","6","10","173"
"","Adrian Aucoin","PHX","D","45","1973-07-03","Ottawa","ON","CAN","CAN","74","215","1992","VAN","5","21","117"
"","Alec Martinez","L.A","D","31","1987-07-26","Rochester Hills","MI","USA","USA","73","208","2007","L.A","4","4","95"
"","Ales Hemsky","EDM","R","35","1983-08-13","Pardubice","","CZE","CZE","72","177","2001","EDM","1","13","13"
"","Ales Kotalik","CGY","R","39","1978-12-23","Jindrichuv Hradec","","CZE","CZE","73","225","1998","BUF","6","19","164"
"","Alex Frolov","NYR","L","36","1982-06-19","Moscow","","RUS","RUS","74","210","2000","L.A","1","20","20"
"","Alex Goligoski","DAL, PIT","D","33","1985-07-30","Grand Rapids","MN","USA","USA","71","185","2004","PIT","2","31","61"
"","Alex Kovalev","OTT, PIT","R","45","1973-02-24","Togliatti","","RUS","RUS","74","222","1991","NYR","1","15","15"
"","Alex Ovechkin","WSH","L","33","1985-09-17","Moscow","","RUS","RUS","75","235","2004","WSH","1","1","1"
"","Alex Pietrangelo","STL","D","28","1990-01-18","King City","ON","CAN","CAN","75","210","2008","STL","1","4","4"
"","Alex Plante","EDM","D","29","1989-05-09","Brandon","MB","CAN","CAN","76","230","2007","EDM","1","15","15"
"","Alex Tanguay","CGY","L","38","1979-11-21","Ste-Justine","QC","CAN","CAN","73","194","1998","COL","1","12","12"
"","Alexander Burmistrov","ATL","C","26","1991-10-21","Kazan","","RUS","RUS","73","180","2010","ATL","1","8","8"
"","Alexander Edler","VAN","D","32","1986-04-21","Ostersund","","SWE","SWE","75","214","2004","VAN","3","26","91"
"","Alexander Semin","WSH","R","34","1984-03-03","Krasnojarsk","","RUS","RUS","74","211","2002","WSH","1","13","13"
"","Alexander Steen","STL","L","34","1984-03-01","Winnipeg","MB","CAN","SWE","72","211","2002","TOR","1","24","24"
"","Alexander Sulzer","FLA, NSH","D","34","1984-05-30","Kaufbeuren","","DEU","DEU","73","198","2003","NSH","3","24","92"
"","Alexander Urbom","N.J","D","27","1990-12-20","Stockholm","","SWE","SWE","76","215","2009","N.J","3","12","73"
"","Alexander Vasyunov","N.J","L","30","1988-04-22","Yaroslavl","","RUS","RUS","73","210","2006","N.J","2","28","58"
"","Alexandre Bolduc","VAN","C","33","1985-06-26","Montreal","QC","CAN","CAN","75","200","2003","STL","4","26","127"
"","Alexandre Burrows","VAN","L","37","1981-04-11","Pincourt","QC","CAN","CAN","73","197","-","-","-","-","-"
"","Alexandre Giroux","EDM","L","37","1981-06-16","Quebec City","QC","CAN","CAN","75","208","1999","OTT","7","27","213"
"","Alexandre Picard","MTL","D","33","1985-07-05","Gatineau","QC","CAN","CAN","75","215","2003","PHI","3","17","85"
"","Alexei Ponikarovsky","L.A","L","38","1980-04-09","Kiev","","UKR","UKR","76","225","1998","TOR","4","1","87"
"","Andre Benoit","OTT","D","34","1984-01-06","St. Albert","ON","CAN","CAN","71","190","-","-","-","-","-"
"","Andreas Engqvist","MTL","C","30","1987-12-23","Stockholm","","SWE","SWE","76","199","-","-","-","-","-"
"","Andreas Lilja","ANA","D","43","1975-07-13","Helsingborg","","SWE","SWE","75","220","2000","L.A","2","24","54"
"","Andreas Nodl","PHI","R","31","1987-02-28","Vienna","","AUT","AUT","73","196","2006","PHI","2","9","39"
"","Andreas Thuresson","NSH","R","30","1987-11-18","Kristianstad","","SWE","SWE","73","206","2007","NSH","5","23","144"
"","Andrei Kostitsyn","MTL","L","33","1985-02-03","Novopolotsk","","BLR","BLR","72","214","2003","MTL","1","10","10"
"","Andrei Loktionov","L.A","C","28","1990-05-30","Voskresensk","","RUS","RUS","71","190","2008","L.A","5","2","123"
"","Andrei Markov","MTL","D","39","1978-12-20","Voskresensk","","RUS","RUS","72","200","1998","MTL","6","17","162"
"","Andrej Meszaros","PHI","D","32","1985-10-13","Povaská Bystrica","","SVK","SVK","74","223","2004","OTT","1","23","23"
"","Andrej Sekera","BUF","D","32","1986-06-08","Bojnice","","SVK","SVK","72","200","2004","BUF","3","6","71"
"","Andrew Alberts","VAN","D","37","1981-06-30","Minneapolis","MN","USA","USA","77","218","2001","BOS","6","14","179"
"","Andrew Brunette","MIN","L","45","1973-08-24","Sudbury","ON","CAN","CAN","73","215","1993","WSH","7","18","174"
"","Andrew Cogliano","EDM","L","31","1987-06-14","Toronto","ON","CAN","CAN","70","177","2005","EDM","1","25","25"
"","Andrew Desjardins","S.J","L","32","1986-07-27","Lively","ON","CAN","CAN","73","195","-","-","-","-","-"
"","Andrew Ebbett","PHX","C","35","1983-01-02","Vernon","BC","CAN","CAN","69","174","-","-","-","-","-"
"","Andrew Ference","BOS","D","39","1979-03-17","Edmonton","AB","CAN","CAN","71","182","1997","PIT","8","18","208"
"","Andrew Gordon","WSH","R","32","1985-12-13","Porters Lake","NS","CAN","CAN","72","194","2004","WSH","7","4","197"
"","Andrew Hutchinson","PIT","D","38","1980-03-24","Evanston","IL","USA","USA","74","195","1999","NSH","2","26","54"
"","Andrew Ladd","ATL","L","32","1985-12-12","Maple Ridge","BC","CAN","CAN","75","192","2004","CAR","1","4","4"
"","Andrew MacDonald","NYI","D","32","1986-09-07","Judique","NS","CAN","CAN","73","204","2006","NYI","6","7","160"
"","Andrew Murray","CBJ","C","36","1981-11-06","Selkirk","MB","CAN","CAN","74","210","2001","CBJ","8","15","242"
"","Andrey Zubarev","ATL","D","31","1987-03-03","Ufa","","RUS","RUS","73","210","2005","ATL","6","25","187"
"","Andy Greene","N.J","D","35","1982-10-30","Trenton","MI","USA","USA","71","190","-","-","-","-","-"
"","Andy McDonald","STL","L","41","1977-08-25","Strathroy","ON","CAN","CAN","70","175","-","-","-","-","-"
"","Andy Sutton","ANA","D","43","1975-03-10","Kingston","ON","CAN","CAN","78","245","-","-","-","-","-"
"","Anssi Salmela","N.J","D","34","1984-08-13","Nokia","","FIN","FIN","73","200","-","-","-","-","-"
"","Anthony Stewart","ATL","R","33","1985-01-05","LaSalle","QC","CAN","CAN","75","230","2003","FLA","1","25","25"
"","Antoine Vermette","CBJ","C","36","1982-07-20","St. Agapit","QC","CAN","CAN","73","197","2000","OTT","2","25","55"
"","Anton Babchuk","CAR, CGY","D","34","1984-05-06","Kiev","","UKR","UKR","77","200","2002","CHI","1","21","21"
"","Anton Stralman","CBJ","D","32","1986-08-01","Tibro","","SWE","SWE","71","190","2005","TOR","7","22","216"
"","Anton Volchenkov","N.J","D","36","1982-02-25","Moscow","","RUS","RUS","73","220","2000","OTT","1","21","21"
"","Antti Miettinen","MIN","R","38","1980-07-03","Hämeenlinna","","FIN","FIN","72","190","2000","DAL","7","27","224"
"","Anze Kopitar","L.A","C","31","1987-08-24","Jesenice","","SVN","SVN","75","224","2005","L.A","1","11","11"
"","Arron Asham","PIT","R","40","1978-04-13","Portage La Prairie","MB","CAN","CAN","71","210","1996","MTL","3","19","71"
"","Artem Anisimov","NYR","C","30","1988-05-24","Yaroslavl","","RUS","RUS","76","198","2006","NYR","2","24","54"
"","Arturs Kulda","ATL","D","30","1988-07-25","Riga","","LVA","LVA","74","215","2006","ATL","7","17","200"
"","B.J. Crombeen","STL","R","33","1985-07-10","Denver","CO","USA","USA","74","209","2003","DAL","2","24","54"
"","Barret Jackman","STL","D","37","1981-03-05","Trail","BC","CAN","CAN","72","203","1999","STL","1","17","17"
"","Ben Eager","ATL, S.J","L","34","1984-01-22","Ottawa","ON","CAN","CAN","74","226","2002","PHX","1","23","23"
"","Ben Holmstrom","PHI","C","31","1987-04-09","Colorado Springs","CO","USA","USA","73","203","-","-","-","-","-"
"","Ben Lovejoy","PIT","D","34","1984-02-20","Concord","NH","USA","USA","73","205","-","-","-","-","-"
"","Ben Maxwell","ATL","C","30","1988-03-30","North Vancouver","BC","CAN","CAN","73","195","2006","MTL","2","19","49"
"","Ben Smith","CHI","R","30","1988-07-11","Winston-Salem","NC","USA","USA","71","203","2008","CHI","6","18","169"
"","Benn Ferriero","S.J","R","31","1987-04-29","Boston","MA","USA","USA","71","195","2006","PHX","7","13","196"
"","Benoit Pouliot","MTL","L","31","1986-09-29","Alfred","ON","CAN","CAN","75","200","2005","MIN","1","4","4"
"","Bill Thomas","FLA","R","35","1983-06-20","Pittsburgh","PA","USA","USA","73","185","-","-","-","-","-"
"","Blair Betts","PHI","C","38","1980-02-16","Edmonton","AB","CAN","CAN","75","210","1998","CGY","2","6","33"
"","Blair Jones","T.B","C","31","1986-09-27","Central Butte","SK","CAN","CAN","74","216","2005","T.B","4","11","102"
"","Blake Comeau","NYI","L","32","1986-02-18","Meadow Lake","SK","CAN","CAN","73","202","2004","NYI","2","17","47"
"","Blake Geoffrion","NSH","C","30","1988-02-03","Plantation","FL","USA","USA","73","190","2006","NSH","2","26","56"
"","Blake Wheeler","ATL, BOS","R","32","1986-08-31","Plymouth","MN","USA","USA","77","225","2004","PHX","1","5","5"
"","Bobby Butler","OTT","R","31","1987-04-26","Marlborough","MA","USA","USA","72","189","-","-","-","-","-"
"","Bobby Ryan","ANA","R","31","1987-03-17","Cherry Hill","NJ","USA","USA","74","204","2005","ANA","1","2","2"
"","Boyd Gordon","WSH","C","34","1983-10-19","Unity","SK","CAN","CAN","72","200","2002","WSH","1","17","17"
"","Brad Boyes","BUF, STL","R","36","1982-04-17","Mississauga","ON","CAN","CAN","72","199","2000","TOR","1","24","24"
"","Brad Lukowich","DAL","D","42","1976-08-12","Cranbrook","BC","CAN","CAN","73","191","1994","NYI","4","12","90"
"","Brad Marchand","BOS","L","30","1988-05-11","Halifax","NS","CAN","CAN","69","181","2006","BOS","3","8","71"
