"","Player","Team","Position","Age","Date of Birth","Birth City","Birth State/Province","Birth Country","Nationality","Height (in)","Weight (lbs)","Draft Year","Draft Team","Draft Round","Round Pick","Overall Draft Position"
"","Aaron Ekblad","FLA","D","22","1996-02-07","Windsor","ON","CAN","CAN","76","216","2014","FLA","1","1","1"
"","Aaron Ness","WSH","D","28","1990-05-18","Roseau","MN","USA","USA","70","184","2008","NYI","2","10","40"
"","Adam Clendening","EDM, PIT","D","25","1992-10-26","Niagara Falls","NY","USA","USA","72","196","2011","CHI","2","6","36"
"","Adam Cracknell","EDM, VAN","R","33","1985-07-15","Prince Albert","SK","CAN","CAN","74","218","2004","CGY","9","21","279"
"","Adam Henrique","N.J","C","28","1990-02-06","Brantford","ON","CAN","CAN","72","195","2008","N.J","3","21","82"
"","Adam Larsson","N.J","D","25","1992-11-12","Skellefteå","","SWE","SWE","75","210","2011","N.J","1","4","4"
"","Adam Lowry","WPG","C","25","1993-03-29","St. Louis","MO","USA","USA","77","210","2011","WPG","3","6","67"
"","Adam McQuaid","BOS","D","31","1986-10-12","Charlottetown","PE","CAN","CAN","76","212","2005","CBJ","2","25","55"
"","Adam Pardy","EDM, WPG","D","34","1984-03-29","Bonavista","NL","CAN","CAN","76","227","2004","CGY","6","10","173"
"","Adam Pelech","NYI","D","24","1994-08-16","Toronto","ON","CAN","CAN","75","217","2012","NYI","3","4","65"
"","Alan Quine","NYI","C","25","1993-02-25","Belleville","ON","CAN","CAN","72","203","2013","NYI","6","15","166"
"","Alec Martinez","L.A","D","31","1987-07-26","Rochester Hills","MI","USA","USA","73","208","2007","L.A","4","4","95"
"","Aleksander Barkov","FLA","C","23","1995-09-02","Tampere","","FIN","FIN","75","213","2013","FLA","1","2","2"
"","Ales Hemsky","DAL","R","35","1983-08-13","Pardubice","","CZE","CZE","72","177","2001","EDM","1","13","13"
"","Alex Biega","VAN","D","30","1988-04-04","Montreal","QC","CAN","CAN","70","193","2006","BUF","5","24","147"
"","Alex Chiasson","OTT","R","27","1990-10-01","Montreal","QC","CAN","CAN","76","208","2009","DAL","2","8","38"
"","Alex Friesen","VAN","C","27","1991-01-30","St. Catharines","ON","CAN","CAN","69","186","2010","VAN","6","22","172"
"","Alex Galchenyuk","MTL","C","24","1994-02-12","Milwaukee","WI","USA","USA","73","207","2012","MTL","1","3","3"
"","Alex Goligoski","DAL","D","33","1985-07-30","Grand Rapids","MN","USA","USA","71","185","2004","PIT","2","31","61"
"","Alex Grant","ARI","D","29","1989-01-20","Antigonish","NS","CAN","CAN","75","210","2007","PIT","4","27","118"
"","Alex Khokhlachev","BOS","C","25","1993-09-09","Moscow","","RUS","RUS","70","181","2011","BOS","2","10","40"
"","Alex Killorn","T.B","L","29","1989-09-14","Halifax","NS","CAN","CAN","73","196","2007","T.B","3","16","77"
"","Alex Ovechkin","WSH","L","33","1985-09-17","Moscow","","RUS","RUS","75","235","2004","WSH","1","1","1"
"","Alex Petrovic","FLA","D","26","1992-03-03","Edmonton","AB","CAN","CAN","76","206","2010","FLA","2","6","36"
"","Alex Pietrangelo","STL","D","28","1990-01-18","King City","ON","CAN","CAN","75","210","2008","STL","1","4","4"
"","Alex Tanguay","ARI, COL","L","38","1979-11-21","Ste-Justine","QC","CAN","CAN","73","194","1998","COL","1","12","12"
"","Alexander Burmistrov","WPG","C","26","1991-10-21","Kazan","","RUS","RUS","73","180","2010","ATL","1","8","8"
"","Alexander Edler","VAN","D","32","1986-04-21","Ostersund","","SWE","SWE","75","214","2004","VAN","3","26","91"
"","Alexander Semin","MTL","R","34","1984-03-03","Krasnojarsk","","RUS","RUS","74","211","2002","WSH","1","13","13"
"","Alexander Steen","STL","L","34","1984-03-01","Winnipeg","MB","CAN","SWE","72","211","2002","TOR","1","24","24"
