"","Player","Team","Position","Age","Date of Birth","Birth City","Birth State/Province","Birth Country","Nationality","Height (in)","Weight (lbs)","Draft Year","Draft Team","Draft Round","Round Pick","Overall Draft Position"
"","Aaron Downey","DET","R","44","1974-08-27","Shelburne","ON","CAN","CAN","73","215","-","-","-","-","-"
"","Aaron Johnson","NYI","D","35","1983-04-30","Port Hawkesbury","NS","CAN","CAN","73","204","2001","CBJ","3","22","85"
"","Aaron Miller","VAN","D","47","1971-08-11","Buffalo","NY","USA","USA","75","210","1989","NYR","5","4","88"
"","Aaron Rome","CBJ","D","34","1983-09-27","Nesbitt","MB","CAN","CAN","73","220","2002","L.A","4","8","104"
"","Aaron Voros","MIN","L","37","1981-07-02","Vancouver","BC","CAN","CAN","74","210","2001","N.J","8","2","229"
"","Aaron Ward","BOS","D","45","1973-01-17","Windsor","ON","CAN","CAN","74","209","1991","WIN","1","5","5"
"","Adam Berti","CHI","L","32","1986-07-01","Scarborough","ON","CAN","CAN","75","205","2004","CHI","3","3","68"
"","Adam Burish","CHI","R","35","1983-01-06","Madison","WI","USA","USA","73","195","2002","CHI","9","22","282"
"","Adam Foote","CBJ, COL","D","47","1971-07-10","Toronto","ON","CAN","CAN","74","220","1989","QUE","2","1","22"
"","Adam Hall","PIT","R","38","1980-08-14","Kalamazoo","MI","USA","USA","74","212","1999","NSH","2","24","52"
"","Adam Mair","BUF","C","39","1979-02-15","Hamilton","ON","CAN","CAN","73","208","1997","TOR","4","4","84"
"","Adam Pineault","CBJ","R","32","1986-05-23","Holyoke","MA","USA","USA","73","201","2004","CBJ","2","16","46"
"","Adrian Aucoin","CGY","D","45","1973-07-03","Ottawa","ON","CAN","CAN","74","215","1992","VAN","5","21","117"
"","Alain Nasreddine","PIT","D","43","1975-07-10","Montreal","QC","CAN","CAN","73","204","1993","FLA","6","5","135"
"","Ales Hemsky","EDM","R","35","1983-08-13","Pardubice","","CZE","CZE","72","177","2001","EDM","1","13","13"
"","Ales Kotalik","BUF","R","39","1978-12-23","Jindrichuv Hradec","","CZE","CZE","73","225","1998","BUF","6","19","164"
"","Alex Foster","TOR","C","34","1984-08-26","Canton","MI","USA","USA","72","200","-","-","-","-","-"
"","Alex Frolov","L.A","L","36","1982-06-19","Moscow","","RUS","RUS","74","210","2000","L.A","1","20","20"
"","Alex Goligoski","PIT","D","33","1985-07-30","Grand Rapids","MN","USA","USA","71","185","2004","PIT","2","31","61"
"","Alex Kovalev","MTL","R","45","1973-02-24","Togliatti","","RUS","RUS","74","222","1991","NYR","1","15","15"
"","Alex Ovechkin","WSH","L","33","1985-09-17","Moscow","","RUS","RUS","75","235","2004","WSH","1","1","1"
"","Alex Tanguay","CGY","L","38","1979-11-21","Ste-Justine","QC","CAN","CAN","73","194","1998","COL","1","12","12"
"","Alexander Edler","VAN","D","32","1986-04-21","Ostersund","","SWE","SWE","75","214","2004","VAN","3","26","91"
"","Alexander Nikulin","OTT","C","33","1985-08-25","Perm","","RUS","RUS","73","198","2004","OTT","4","24","122"
"","Alexander Radulov","NSH","R","32","1986-07-05","Nizhny Tagil","","RUS","RUS","73","201","2004","NSH","1","15","15"
"","Alexander Semin","WSH","R","34","1984-03-03","Krasnojarsk","","RUS","RUS","74","211","2002","WSH","1","13","13"
"","Alexander Steen","TOR","L","34","1984-03-01","Winnipeg","MB","CAN","SWE","72","211","2002","TOR","1","24","24"
"","Alexandre Burrows","VAN","L","37","1981-04-11","Pincourt","QC","CAN","CAN","73","197","-","-","-","-","-"
"","Alexandre Picard","PHI, T.B","D","33","1985-07-05","Gatineau","QC","CAN","CAN","75","215","2003","PHI","3","17","85"
"","Alexandre Picard","CBJ","L","32","1985-10-09","Les Saules","QC","CAN","CAN","74","206","2004","CBJ","1","8","8"
"","Alexei Ponikarovsky","TOR","L","38","1980-04-09","Kiev","","UKR","UKR","76","225","1998","TOR","4","1","87"
"","Alexei Semenov","S.J","D","37","1981-04-10","Murmansk","","RUS","RUS","78","245","1999","EDM","2","8","36"
"","Alexei Zhitnik","ATL","D","45","1972-10-10","Kiev","","UKR","UKR","71","225","1991","L.A","4","15","81"
"","Allan Rourke","EDM","D","38","1980-03-06","Mississauga","ON","CAN","CAN","74","215","1998","TOR","6","9","154"
"","Anders Eriksson","CGY","D","43","1975-01-09","Bollnas","","SWE","SWE","75","224","1993","DET","1","22","22"
"","Andre Roy","T.B","R","43","1975-02-08","Port Chester","NY","USA","USA","76","229","1994","BOS","6","21","151"
"","Andreas Karlsson","T.B","C","43","1975-08-19","Luvika","","SWE","SWE","76","201","1993","CGY","6","18","148"
"","Andreas Lilja","DET","D","43","1975-07-13","Helsingborg","","SWE","SWE","75","220","2000","L.A","2","24","54"
"","Andrei Kostitsyn","MTL","L","33","1985-02-03","Novopolotsk","","BLR","BLR","72","214","2003","MTL","1","10","10"
"","Andrei Markov","MTL","D","39","1978-12-20","Voskresensk","","RUS","RUS","72","200","1998","MTL","6","17","162"
"","Andrei Zyuzin","CHI","D","40","1978-01-21","Ufa","","RUS","RUS","73","208","1996","S.J","1","2","2"
"","Andrej Meszaros","OTT","D","32","1985-10-13","Povaská Bystrica","","SVK","SVK","74","223","2004","OTT","1","23","23"
"","Andrej Sekera","BUF","D","32","1986-06-08","Bojnice","","SVK","SVK","72","200","2004","BUF","3","6","71"
"","Andrew Alberts","BOS","D","37","1981-06-30","Minneapolis","MN","USA","USA","77","218","2001","BOS","6","14","179"
"","Andrew Brunette","COL","L","45","1973-08-24","Sudbury","ON","CAN","CAN","73","215","1993","WSH","7","18","174"
"","Andrew Cogliano","EDM","C, L","31","1987-06-14","Toronto","ON","CAN","CAN","70","177","2005","EDM","1","25","25"
"","Andrew Ebbett","ANA","C","35","1983-01-02","Vernon","BC","CAN","CAN","69","174","-","-","-","-","-"
"","Andrew Ference","BOS","D","39","1979-03-17","Edmonton","AB","CAN","CAN","71","182","1997","PIT","8","18","208"
"","Andrew Ladd","CAR, CHI","L","32","1985-12-12","Maple Ridge","BC","CAN","CAN","75","192","2004","CAR","1","4","4"
"","Andrew Murray","CBJ","C","36","1981-11-06","Selkirk","MB","CAN","CAN","74","210","2001","CBJ","8","15","242"
"","Andrew Peters","BUF","L","38","1980-05-05","St. Catharines","ON","CAN","CAN","76","240","1998","BUF","2","7","34"
"","Andy Greene","N.J","D","35","1982-10-30","Trenton","MI","USA","USA","71","190","-","-","-","-","-"
"","Andy Hilbert","NYI","L","37","1981-02-06","Howell","MI","USA","USA","70","188","2000","BOS","2","7","37"
"","Andy McDonald","ANA, STL","L","41","1977-08-25","Strathroy","ON","CAN","CAN","70","175","-","-","-","-","-"
"","Andy Sutton","NYI","D","43","1975-03-10","Kingston","ON","CAN","CAN","78","245","-","-","-","-","-"
"","Andy Wozniewski","TOR","D","38","1980-05-25","Buffalo Grove","IL","USA","USA","77","225","-","-","-","-","-"
