"","Player","Team","Position","Age","Date of Birth","Birth City","Birth State/Province","Birth Country","Nationality","Height (in)","Weight (lbs)","Draft Year","Draft Team","Draft Round","Round Pick","Overall Draft Position"
"","Aaron Gagnon","WPG","C","32","1986-04-24","Quesnel","BC","CAN","CAN","71","186","2004","PHX","8","13","240"
"","Aaron Johnson","CBJ","D","35","1983-04-30","Port Hawkesbury","NS","CAN","CAN","73","204","2001","CBJ","3","22","85"
"","Aaron Ness","NYI","D","28","1990-05-18","Roseau","MN","USA","USA","70","184","2008","NYI","2","10","40"
"","Aaron Palushaj","MTL","R","29","1989-09-07","Livonia","MI","USA","USA","72","187","2007","STL","2","14","44"
"","Aaron Rome","VAN","D","34","1983-09-27","Nesbitt","MB","CAN","CAN","73","220","2002","L.A","4","8","104"
"","Aaron Volpatti","VAN","L","33","1985-05-30","Revelstoke","BC","CAN","CAN","72","215","-","-","-","-","-"
"","Adam Burish","DAL","R","35","1983-01-06","Madison","WI","USA","USA","73","195","2002","CHI","9","22","282"
"","Adam Cracknell","STL","R","33","1985-07-15","Prince Albert","SK","CAN","CAN","74","218","2004","CGY","9","21","279"
"","Adam Hall","T.B","R","38","1980-08-14","Kalamazoo","MI","USA","USA","74","212","1999","NSH","2","24","52"
"","Adam Henrique","N.J","C","28","1990-02-06","Brantford","ON","CAN","CAN","72","195","2008","N.J","3","21","82"
"","Adam Larsson","N.J","D","25","1992-11-12","Skellefteå","","SWE","SWE","75","210","2011","N.J","1","4","4"
"","Adam McQuaid","BOS","D","31","1986-10-12","Charlottetown","PE","CAN","CAN","76","212","2005","CBJ","2","25","55"
"","Adam Pardy","DAL","D","34","1984-03-29","Bonavista","NL","CAN","CAN","76","227","2004","CGY","6","10","173"
"","Adrian Aucoin","PHX","D","45","1973-07-03","Ottawa","ON","CAN","CAN","74","215","1992","VAN","5","21","117"
"","Akim Aliu","CGY","R","29","1989-04-24","Okene","","NGA","NGA","76","225","2007","CHI","2","26","56"
"","Alec Martinez","L.A","D","31","1987-07-26","Rochester Hills","MI","USA","USA","73","208","2007","L.A","4","4","95"
"","Ales Hemsky","EDM","R","35","1983-08-13","Pardubice","","CZE","CZE","72","177","2001","EDM","1","13","13"
"","Alex Goligoski","DAL","D","33","1985-07-30","Grand Rapids","MN","USA","USA","71","185","2004","PIT","2","31","61"
"","Alex Ovechkin","WSH","L","33","1985-09-17","Moscow","","RUS","RUS","75","235","2004","WSH","1","1","1"
"","Alex Pietrangelo","STL","D","28","1990-01-18","King City","ON","CAN","CAN","75","210","2008","STL","1","4","4"
"","Alex Plante","EDM","D","29","1989-05-09","Brandon","MB","CAN","CAN","76","230","2007","EDM","1","15","15"
"","Alex Tanguay","CGY","L","38","1979-11-21","Ste-Justine","QC","CAN","CAN","73","194","1998","COL","1","12","12"
"","Alexander Burmistrov","WPG","C","26","1991-10-21","Kazan","","RUS","RUS","73","180","2010","ATL","1","8","8"
"","Alexander Edler","VAN","D","32","1986-04-21","Ostersund","","SWE","SWE","75","214","2004","VAN","3","26","91"
