"","Player","Team","Position","Age","Date of Birth","Birth City","Birth State/Province","Birth Country","Nationality","Height (in)","Weight (lbs)","Draft Year","Draft Team","Draft Round","Round Pick","Overall Draft Position"
"","Aaron Ekblad","FLA","D","22","1996-02-07","Windsor","ON","CAN","CAN","76","216","2014","FLA","1","1","1"
"","Aaron Volpatti","WSH","L","33","1985-05-30","Revelstoke","BC","CAN","CAN","72","215","-","-","-","-","-"
"","Adam Burish","S.J","R","35","1983-01-06","Madison","WI","USA","USA","73","195","2002","CHI","9","22","282"
"","Adam Clendening","CHI, VAN","D","25","1992-10-26","Niagara Falls","NY","USA","USA","72","196","2011","CHI","2","6","36"
"","Adam Cracknell","CBJ","R","33","1985-07-15","Prince Albert","SK","CAN","CAN","74","218","2004","CGY","9","21","279"
"","Adam Henrique","N.J","C","28","1990-02-06","Brantford","ON","CAN","CAN","72","195","2008","N.J","3","21","82"
"","Adam Larsson","N.J","D","25","1992-11-12","Skellefteå","","SWE","SWE","75","210","2011","N.J","1","4","4"
"","Adam Lowry","WPG","C","25","1993-03-29","St. Louis","MO","USA","USA","77","210","2011","WPG","3","6","67"
"","Adam McQuaid","BOS","D","31","1986-10-12","Charlottetown","PE","CAN","CAN","76","212","2005","CBJ","2","25","55"
"","Adam Pardy","WPG","D","34","1984-03-29","Bonavista","NL","CAN","CAN","76","227","2004","CGY","6","10","173"
"","Alec Martinez","L.A","D","31","1987-07-26","Rochester Hills","MI","USA","USA","73","208","2007","L.A","4","4","95"
"","Aleksander Barkov","FLA","C","23","1995-09-02","Tampere","","FIN","FIN","75","213","2013","FLA","1","2","2"
"","Ales Hemsky","DAL","R","35","1983-08-13","Pardubice","","CZE","CZE","72","177","2001","EDM","1","13","13"
"","Alex Biega","VAN","D","30","1988-04-04","Montreal","QC","CAN","CAN","70","193","2006","BUF","5","24","147"
"","Alex Chiasson","OTT","R","27","1990-10-01","Montreal","QC","CAN","CAN","76","208","2009","DAL","2","8","38"
"","Alex Galchenyuk","MTL","C","24","1994-02-12","Milwaukee","WI","USA","USA","73","207","2012","MTL","1","3","3"
"","Alex Goligoski","DAL","D","33","1985-07-30","Grand Rapids","MN","USA","USA","71","185","2004","PIT","2","31","61"
"","Alex Khokhlachev","BOS","C","25","1993-09-09","Moscow","","RUS","RUS","70","181","2011","BOS","2","10","40"
"","Alex Killorn","T.B","L","29","1989-09-14","Halifax","NS","CAN","CAN","73","196","2007","T.B","3","16","77"
"","Alex Ovechkin","WSH","L","33","1985-09-17","Moscow","","RUS","RUS","75","235","2004","WSH","1","1","1"
"","Alex Petrovic","FLA","D","26","1992-03-03","Edmonton","AB","CAN","CAN","76","206","2010","FLA","2","6","36"
"","Alex Pietrangelo","STL","D","28","1990-01-18","King City","ON","CAN","CAN","75","210","2008","STL","1","4","4"
"","Alex Tanguay","COL","L","38","1979-11-21","Ste-Justine","QC","CAN","CAN","73","194","1998","COL","1","12","12"
"","Alexander Edler","VAN","D","32","1986-04-21","Ostersund","","SWE","SWE","75","214","2004","VAN","3","26","91"
"","Alexander Semin","CAR","R","34","1984-03-03","Krasnojarsk","","RUS","RUS","74","211","2002","WSH","1","13","13"
"","Alexander Steen","STL","L","34","1984-03-01","Winnipeg","MB","CAN","SWE","72","211","2002","TOR","1","24","24"
"","Alexander Wennberg","CBJ","C","23","1994-09-22","Stockholm","","SWE","SWE","74","196","2013","CBJ","1","14","14"
